genes,label,Category_cl
NLRC5,1,Protein Coding
NLRP1,1,Protein Coding
NLRP10,0,Protein Coding
NLRP11,0,Protein Coding
NLRP12,1,Protein Coding
NLRP13,0,Protein Coding
NLRP14,0,Protein Coding
NLRP2,0,Protein Coding
NLRP2B,0,Protein Coding
NLRP3,1,Protein Coding
NLRP3P1,0,Pseudogene
NLRP4,1,Protein Coding
NLRP5,0,Protein Coding
NLRP6,1,Protein Coding
NLRP7,0,Protein Coding
NLRP8,0,Protein Coding
NLRP9,0,Protein Coding
NLRP9P1,0,Pseudogene
NLRX1,1,Protein Coding
NMB,1,Protein Coding
NMBR,0,Protein Coding
NMD3,0,Protein Coding
NMD3P1,0,Pseudogene
NME1,1,Protein Coding
NME2,1,TF
NME2P1,0,Pseudogene
NME3,1,Protein Coding
NME4,1,Protein Coding
NME5,1,Protein Coding
NME6,1,Protein Coding
NME7,1,Protein Coding
NME8,1,Protein Coding
NME9,0,Protein Coding
NMI,0,TF
NMNAT1,1,Protein Coding
NMNAT2,1,Protein Coding
NMNAT3,1,Protein Coding
NMRAL1,1,Protein Coding
NMRAL2P,0,Pseudogene
NMRK1,0,Protein Coding
NMRK2,0,Protein Coding
NMS,0,Protein Coding
NMT1,0,Protein Coding
NMT2,1,Protein Coding
NMU,1,Protein Coding
NMUR1,0,Protein Coding
NMUR2,1,Protein Coding
NNAT,0,Protein Coding
NNMT,1,Protein Coding
NNT,1,Protein Coding
NNT-AS1,1,lncRNA
NOA1,0,Protein Coding
NOB1,1,Protein Coding
NOBOX,0,TF
NOC2L,1,Protein Coding
NOC3L,0,TF
NOC4L,1,TF
NOCT,1,Protein Coding
NOD1,0,Protein Coding
NOD2,1,Protein Coding
NODAL,0,Protein Coding
NOG,1,Protein Coding
NOL10,0,Protein Coding
NOL11,1,Protein Coding
NOL12,0,Protein Coding
NOL3,1,Protein Coding
NOL4,1,Protein Coding
NOL4L,0,Protein Coding
NOL6,1,Protein Coding
NOL7,1,Protein Coding
NOL8,0,Protein Coding
NOL9,0,Protein Coding
NOLC1,1,Protein Coding
NOM1,1,Protein Coding
NOMO1,1,Protein Coding
NOMO2,1,Protein Coding
NOMO3,1,Protein Coding
NONO,0,TF
NOP10,0,Protein Coding
NOP14,1,Protein Coding
NOP14-AS1,1,lncRNA
NOP16,1,Protein Coding
NOP2,1,TF
NOP53,1,Protein Coding
NOP53-AS1,0,lncRNA
NOP56,1,Protein Coding
NOP56P3,0,Pseudogene
NOP58,0,Protein Coding
NOP9,1,Protein Coding
NORAD,1,lncRNA
NOS1,0,Protein Coding
NOS1AP,0,Protein Coding
NOS2,1,Protein Coding
NOS2P1,0,Pseudogene
NOS2P3,0,Pseudogene
NOS3,1,Protein Coding
NOSIP,1,Protein Coding
NOSTRIN,1,Protein Coding
NOTCH1,1,TF
NOTCH2,0,TF
NOTCH2NLA,0,Protein Coding
NOTCH2NLC,0,Protein Coding
NOTCH3,1,TF
NOTCH4,0,TF
NOTO,0,TF
NOTUM,1,Protein Coding
NOVA1,0,Protein Coding
NOVA2,1,Protein Coding
NOX1,0,Protein Coding
NOX3,0,Protein Coding
NOX4,1,Protein Coding
NOX5,0,Protein Coding
NOXA1,0,Protein Coding
NOXO1,0,Protein Coding
NOXRED1,0,Protein Coding
NPAP1,0,Protein Coding
NPAP1P2,0,Pseudogene
NPAP1P3,0,Pseudogene
NPAP1P6,0,Pseudogene
NPAS1,0,TF
NPAS2,1,TF
NPAS3,0,TF
NPAS4,0,TF
NPAT,0,TF
NPBWR1,0,Protein Coding
NPBWR2,0,Protein Coding
NPC1,1,Protein Coding
NPC1L1,1,Protein Coding
NPC2,0,Protein Coding
NPDC1,1,Protein Coding
NPEPL1,0,Protein Coding
NPEPPS,1,Protein Coding
NPFFR1,0,Protein Coding
NPFFR2,0,Protein Coding
NPHP1,1,Protein Coding
NPHP3,1,Protein Coding
NPHP3-ACAD11,0,other
NPHP3-AS1,0,lncRNA
NPHP4,1,Protein Coding
NPHS1,1,Protein Coding
NPHS2,0,Protein Coding
NPIPA1,0,Protein Coding
NPIPA7,0,Protein Coding
NPIPA9,0,other
NPIPB11,0,Protein Coding
NPIPB1P,0,Pseudogene
NPIPB3,1,Protein Coding
NPIPB4,1,Protein Coding
NPIPB5,1,Protein Coding
NPIPB6,1,Protein Coding
NPIPB7,0,other
NPIPB8,0,Protein Coding
NPIPB9,1,Protein Coding
NPIPP1,0,Pseudogene
NPL,1,Protein Coding
NPLOC4,1,Protein Coding
NPM1,1,TF
NPM1P10,0,Pseudogene
NPM1P13,0,Pseudogene
NPM1P14,0,Pseudogene
NPM1P24,0,Pseudogene
NPM1P26,0,Pseudogene
NPM1P27,0,Pseudogene
NPM1P29,0,Pseudogene
NPM1P30,0,Pseudogene
NPM1P32,0,Pseudogene
NPM1P35,0,Pseudogene
NPM1P36,0,Pseudogene
NPM1P37,0,Pseudogene
NPM1P38,0,Pseudogene
NPM1P39,0,Pseudogene
NPM1P4,0,Pseudogene
NPM1P40,0,Pseudogene
NPM1P49,0,Pseudogene
NPM1P5,0,Pseudogene
NPM1P51,0,Pseudogene
NPM1P6,0,Pseudogene
NPM2,1,TF
NPM3,1,Protein Coding
NPNT,1,Protein Coding
NPPA,0,Protein Coding
NPPB,0,Protein Coding
NPPC,0,Protein Coding
NPR1,1,Protein Coding
NPR2,0,Protein Coding
NPR3,1,Protein Coding
NPRL2,0,Protein Coding
NPRL3,0,Protein Coding
NPSR1,0,Protein Coding
NPSR1-AS1,0,lncRNA
NPTN,0,Protein Coding
NPTN-IT1,0,lncRNA
NPTX1,1,Protein Coding
NPTX2,1,Protein Coding
NPTXR,1,Protein Coding
NPVF,0,Protein Coding
NPW,1,Protein Coding
NPY,1,Protein Coding
NPY1R,1,Protein Coding
NPY2R,0,Protein Coding
NPY4R,0,Protein Coding
NPY5R,0,Protein Coding
NPY6R,0,Pseudogene
NQO1,1,Protein Coding
NQO2,1,Protein Coding
NR0B1,1,TF
NR0B2,1,TF
NR1D1,1,TF
NR1D2,1,TF
NR1H2,0,TF
NR1H3,0,TF
NR1H4,1,TF
NR1H5P,0,Pseudogene
NR1I2,1,TF
NR1I3,1,TF
NR2C1,1,TF
NR2C2,1,TF
NR2C2AP,1,Protein Coding
NR2E1,1,TF
NR2E3,1,TF
NR2F1,1,TF
NR2F1-AS1,1,lncRNA
NR2F2,1,TF
NR2F2-AS1,1,lncRNA
NR2F6,1,TF
NR3C1,1,TF
NR3C2,1,TF
NR4A1,1,TF
NR4A1AS,0,lncRNA
NR4A2,1,TF
NR4A3,1,TF
NR5A1,1,TF
NR5A2,1,TF
NR6A1,0,TF
NRAD1,0,lncRNA
NRADDP,0,Pseudogene
NRAP,0,Protein Coding
NRARP,1,Protein Coding
NRAS,1,Protein Coding
NRAV,1,lncRNA
NRBF2,1,TF
NRBF2P2,0,Pseudogene
NRBF2P5,0,Pseudogene
NRBP1,0,Protein Coding
NRBP2,1,Protein Coding
NRCAM,0,Protein Coding
NRDC,0,Protein Coding
NRDE2,0,Protein Coding
NREP,1,Protein Coding
NRF1,1,TF
NRG1,0,TF
NRG1-IT1,0,lncRNA
NRG2,0,Protein Coding
NRG3,1,Protein Coding
NRG4,1,Protein Coding
NRGN,1,Protein Coding
NRIP1,1,TF
NRIP2,0,TF
NRIP3,1,Protein Coding
NRIR,0,lncRNA
NRK,1,TF
NRL,0,TF
NRM,1,Protein Coding
NRN1,1,Protein Coding
NRN1L,0,Protein Coding
NRP1,1,Protein Coding
NRP2,1,Protein Coding
NRROS,1,Protein Coding
NRSN1,0,Protein Coding
NRSN2,1,Protein Coding
NRSN2-AS1,1,lncRNA
NRTN,1,Protein Coding
NRXN1,1,Protein Coding
NRXN2,0,Protein Coding
NRXN3,0,Protein Coding
NSA2,0,Protein Coding
NSD1,1,TF
NSD2,1,Protein Coding
NSD3,1,Protein Coding
NSDHL,1,Protein Coding
NSF,1,Protein Coding
NSFL1C,0,Protein Coding
NSFP1,0,Pseudogene
NSG1,0,Protein Coding
NSG2,0,Protein Coding
NSL1,0,Protein Coding
NSMAF,1,Protein Coding
NSMCE1,1,Protein Coding
NSMCE2,0,Protein Coding
NSMCE3,1,Protein Coding
NSMCE4A,0,Protein Coding
NSMF,1,Protein Coding
NSRP1,0,Protein Coding
NSRP1P1,0,Pseudogene
NSUN2,1,Protein Coding
NSUN3,0,Protein Coding
NSUN4,0,Protein Coding
NSUN5,1,Protein Coding
NSUN5P1,0,Pseudogene
NSUN5P2,0,Pseudogene
NSUN6,1,Protein Coding
NSUN7,0,Protein Coding
NT5C,0,Protein Coding
NT5C1A,0,Protein Coding
NT5C1B,0,Protein Coding
NT5C2,1,Protein Coding
NT5C3A,1,Protein Coding
NT5C3AP1,0,Pseudogene
NT5C3B,1,Protein Coding
NT5CP2,0,Pseudogene
NT5DC1,1,Protein Coding
NT5DC2,1,Protein Coding
NT5DC3,1,Protein Coding
NT5DC4,1,Protein Coding
NT5E,1,Protein Coding
NT5M,0,Protein Coding
NTAN1,0,Protein Coding
NTAN1P3,0,Pseudogene
NTAQ1,0,Protein Coding
NTF3,1,Protein Coding
NTF4,1,Protein Coding
NTHL1,1,Protein Coding
NTM,1,Protein Coding
NTMT1,1,Protein Coding
NTN1,0,Protein Coding
NTN3,0,Protein Coding
NTN4,1,Protein Coding
NTN5,0,Protein Coding
NTNG1,1,Protein Coding
NTNG2,1,Protein Coding
NTPCR,1,Protein Coding
NTRK1,1,Protein Coding
NTRK2,1,Protein Coding
NTRK3,1,Protein Coding
NTRK3-AS1,0,lncRNA
NTS,1,Protein Coding
NTSR1,0,Protein Coding
NTSR2,1,Protein Coding
NUAK1,1,Protein Coding
NUAK2,1,Protein Coding
NUB1,0,Protein Coding
NUBP1,1,Protein Coding
NUBP2,0,Protein Coding
NUBPL,0,Protein Coding
NUCB1,1,Protein Coding
NUCB1-AS1,0,lncRNA
NUCB2,1,Protein Coding
NUCKS1,1,Protein Coding
NUDC,0,Protein Coding
NUDCD1,0,Protein Coding
NUDCD2,0,Protein Coding
NUDCD3,0,Protein Coding
NUDT1,1,Protein Coding
NUDT10,1,Protein Coding
NUDT11,0,Protein Coding
NUDT12,1,Protein Coding
NUDT13,0,Protein Coding
NUDT14,0,Protein Coding
NUDT15,0,Protein Coding
NUDT16,1,Protein Coding
NUDT16L1,1,Protein Coding
NUDT17,0,Protein Coding
NUDT18,1,Protein Coding
NUDT19,1,Protein Coding
NUDT19P4,0,Pseudogene
NUDT19P5,0,Pseudogene
NUDT2,0,Protein Coding
NUDT21,0,Protein Coding
NUDT22,1,Protein Coding
NUDT3,1,Protein Coding
NUDT4,0,Protein Coding
NUDT4B,0,Protein Coding
NUDT5,0,Protein Coding
NUDT6,0,Protein Coding
NUDT7,1,Protein Coding
NUDT8,1,Protein Coding
NUDT9,1,Protein Coding
NUDT9P1,0,Pseudogene
NUF2,1,Protein Coding
NUFIP1,1,TF
NUFIP1P1,0,Pseudogene
NUFIP2,1,Protein Coding
NUGGC,1,Protein Coding
NUMA1,1,Protein Coding
NUMB,1,Protein Coding
NUMBL,1,Protein Coding
NUP107,0,Protein Coding
NUP133,0,Protein Coding
NUP153,1,Protein Coding
NUP155,0,Protein Coding
NUP160,1,Protein Coding
NUP188,0,Protein Coding
NUP205,0,Protein Coding
NUP210,1,Protein Coding
NUP210L,1,Protein Coding
NUP210P1,0,Pseudogene
NUP214,1,Protein Coding
NUP35,1,Protein Coding
NUP37,1,Protein Coding
NUP42,0,Protein Coding
NUP43,1,Protein Coding
NUP50,0,Protein Coding
NUP50-DT,0,lncRNA
NUP54,1,Protein Coding
NUP58,1,Protein Coding
NUP58P1,0,Pseudogene
NUP62,1,TF
NUP62CL,1,Protein Coding
NUP85,0,Protein Coding
NUP88,1,Protein Coding
NUP93,1,Protein Coding
NUP98,1,Protein Coding
NUPR1,1,TF
NUS1,1,Protein Coding
NUS1P3,0,Pseudogene
NUSAP1,1,Protein Coding
NUTF2,0,Protein Coding
NUTM1,1,Protein Coding
NUTM2A,0,Protein Coding
NUTM2A-AS1,0,lncRNA
NUTM2B,0,Protein Coding
NUTM2B-AS1,1,lncRNA
NUTM2D,0,Protein Coding
NUTM2F,1,Protein Coding
NUTM2G,0,Protein Coding
NVL,0,Protein Coding
NWD1,1,Protein Coding
NWD2,0,Protein Coding
NXF1,1,Protein Coding
NXF2,0,Protein Coding
NXF3,1,Protein Coding
NXF4,0,Pseudogene
NXF5,0,Protein Coding
NXN,1,Protein Coding
NXNL1,0,Protein Coding
NXNL2,1,Protein Coding
NXPE1,1,Protein Coding
NXPE2,0,Protein Coding
NXPE3,1,Protein Coding
NXPE4,0,Protein Coding
NXPH1,1,Protein Coding
NXPH2,1,Protein Coding
NXPH3,0,Protein Coding
NXPH4,1,Protein Coding
NXT1,1,Protein Coding
NXT2,0,Protein Coding
NYAP1,0,Protein Coding
NYAP2,0,Protein Coding
NYNRIN,1,Protein Coding
NYX,1,Protein Coding
OAF,1,Protein Coding
OARD1,0,Protein Coding
OAS1,1,Protein Coding
OAS2,0,Protein Coding
OAS3,1,Protein Coding
OASL,1,Protein Coding
OAT,1,Protein Coding
OAZ1,1,Protein Coding
OAZ2,0,Protein Coding
OAZ3,0,Protein Coding
OBI1,0,Protein Coding
OBI1-AS1,0,lncRNA
OBP2A,0,Protein Coding
OBP2B,0,Protein Coding
OBSCN,1,Protein Coding
OBSCN-AS1,1,lncRNA
OBSL1,1,Protein Coding
OCA2,1,Protein Coding
OCEL1,1,Protein Coding
OCIAD1,1,Protein Coding
OCIAD1-AS1,0,lncRNA
OCIAD2,1,Protein Coding
OCLN,1,Protein Coding
OCM,0,Protein Coding
OCM2,0,Protein Coding
OCRL,0,Protein Coding
OCSTAMP,0,Protein Coding
ODAM,1,Protein Coding
ODAPH,0,Protein Coding
ODC1,1,Protein Coding
ODF1,0,Protein Coding
ODF2,1,Protein Coding
ODF2L,1,Protein Coding
ODF3,1,Protein Coding
ODF3B,1,Protein Coding
ODF3L1,0,Protein Coding
ODF3L2,0,Protein Coding
ODF4,0,Protein Coding
ODR4,0,Protein Coding
OFCC1,0,other
OFD1,1,Protein Coding
OFD1P6Y,0,Pseudogene
OGA,0,Protein Coding
OGDH,1,Protein Coding
OGDHL,1,Protein Coding
OGFOD1,1,Protein Coding
OGFOD2,0,Protein Coding
OGFOD3,0,Protein Coding
OGFR,1,Protein Coding
OGFRL1,1,Protein Coding
OGG1,1,Protein Coding
OGN,1,Protein Coding
OGT,0,Protein Coding
OIP5,1,Protein Coding
OIP5-AS1,0,lncRNA
OIT3,1,Protein Coding
OLA1,0,Protein Coding
OLA1P1,0,Pseudogene
OLA1P2,0,Pseudogene
OLA1P3,0,Pseudogene
OLAH,1,Protein Coding
OLFM1,1,Protein Coding
OLFM2,1,Protein Coding
OLFM3,0,Protein Coding
OLFM4,1,Protein Coding
OLFM5P,0,Pseudogene
OLFML1,1,Protein Coding
OLFML2A,1,Protein Coding
OLFML2B,1,Protein Coding
OLFML3,1,Protein Coding
OLIG1,1,TF
OLIG2,1,TF
OLIG3,0,TF
OLMALINC,0,lncRNA
OLR1,1,Protein Coding
OMA1,0,Protein Coding
OMD,1,Protein Coding
OMG,1,Protein Coding
OMP,0,Protein Coding
ONECUT1,1,TF
ONECUT2,1,TF
ONECUT3,1,TF
OOEP,1,Protein Coding
OOEP-AS1,0,lncRNA
OOSP2,0,Protein Coding
OPA1,1,Protein Coding
OPA3,0,Protein Coding
OPALIN,1,Protein Coding
OPCML,1,Protein Coding
OPCML-IT1,0,lncRNA
OPHN1,1,Protein Coding
OPLAH,0,Protein Coding
OPN1LW,0,Protein Coding
OPN1MW,0,Protein Coding
OPN1SW,1,Protein Coding
OPN3,1,Protein Coding
OPN4,0,Protein Coding
OPN5,0,Protein Coding
OPRD1,0,Protein Coding
OPRK1,0,Protein Coding
OPRL1,1,Protein Coding
OPRM1,0,Protein Coding
OPRPN,0,Protein Coding
OPTC,0,Protein Coding
OPTN,1,TF
OR10A4,0,Protein Coding
OR10A5,0,Protein Coding
OR10AD1,1,Protein Coding
OR10AG1,0,Protein Coding
OR10D3,0,Protein Coding
OR10G3,0,Protein Coding
OR10G4,0,Protein Coding
OR10H1,0,Protein Coding
OR10H5,0,Protein Coding
OR10J3,0,Protein Coding
OR10K2,1,Protein Coding
OR10Q1,0,Protein Coding
OR10S1,0,Protein Coding
OR11A1,0,Protein Coding
OR11G2,0,Protein Coding
OR11H4,0,Protein Coding
OR11K2P,0,Pseudogene
OR11Q1P,0,Pseudogene
OR12D3,0,Protein Coding
OR13A1,0,Protein Coding
OR13C1P,0,Pseudogene
OR13C2,0,Protein Coding
OR13C4,0,Protein Coding
OR13C5,0,Protein Coding
OR13D2P,0,Pseudogene
OR13F1,0,Protein Coding
OR13G1,0,Protein Coding
OR13I1P,0,Pseudogene
OR13J1,0,Protein Coding
OR13Z2P,0,Pseudogene
OR14J1,0,Protein Coding
OR1AB1P,0,Pseudogene
OR1C1,0,Protein Coding
OR1D2,0,Protein Coding
OR1E1,0,Protein Coding
OR1E2,0,Protein Coding
OR1F2P,0,Pseudogene
OR1G1,0,Protein Coding
OR1I1,0,Protein Coding
OR1J2,0,Protein Coding
OR1J4,0,Protein Coding
OR1L3,0,Protein Coding
OR1M1,0,Protein Coding
OR1N2,0,Protein Coding
OR1R1P,0,Pseudogene
OR1X1P,0,Pseudogene
OR2A12,0,Protein Coding
OR2A14,0,Protein Coding
OR2A15P,0,Pseudogene
OR2A1-AS1,1,lncRNA
OR2A3P,0,Pseudogene
OR2A4,0,Protein Coding
OR2A7,1,Protein Coding
OR2AG1,0,Protein Coding
OR2AJ1,0,Protein Coding
OR2AK2,0,Protein Coding
OR2B2,0,Protein Coding
OR2B8P,0,Pseudogene
OR2C3,1,Protein Coding
OR2D3,0,Protein Coding
OR2F1,0,Protein Coding
OR2G6,0,Protein Coding
OR2H1,0,Protein Coding
OR2H2,0,Protein Coding
OR2J3,0,Protein Coding
OR2K2,0,Protein Coding
OR2L13,0,Protein Coding
OR2L2,0,Protein Coding
OR2L3,0,Protein Coding
OR2L9P,0,Pseudogene
OR2S2,0,Protein Coding
OR2T10,0,Protein Coding
OR2T11,0,Protein Coding
OR2T12,0,Protein Coding
OR2T33,0,Protein Coding
OR2T6,0,Protein Coding
OR2V2,0,Protein Coding
OR2W3,1,Protein Coding
OR2W6P,0,Pseudogene
OR3A1,1,Protein Coding
OR3A2,1,Protein Coding
OR4A16,0,Protein Coding
OR4C1P,0,Pseudogene
OR4D1,0,Protein Coding
OR4D10,0,Protein Coding
OR4D5,0,Protein Coding
OR4D6,0,Protein Coding
OR4E2,0,Protein Coding
OR4K2,0,Protein Coding
OR4K8P,0,Pseudogene
OR4M1,0,Protein Coding
OR4N2,0,Protein Coding
OR4X2,0,Protein Coding
OR51A10P,0,Pseudogene
OR51A3P,0,Pseudogene
OR51A7,0,Protein Coding
OR51A9P,0,Pseudogene
OR51AB1P,0,Pseudogene
OR51B2,0,Protein Coding
OR51B4,0,Protein Coding
OR51B5,0,Protein Coding
OR51B6,0,Protein Coding
OR51E1,0,Protein Coding
OR51E2,0,Protein Coding
OR51F2,0,Protein Coding
OR51I2,0,Protein Coding
OR51K1P,0,Pseudogene
OR51M1,0,Protein Coding
OR51R1P,0,Pseudogene
OR51S1,0,Protein Coding
OR52A1,0,Protein Coding
OR52B2,0,Protein Coding
OR52B3P,0,Pseudogene
OR52B5P,0,Pseudogene
OR52E2,0,Protein Coding
OR52E5,0,Protein Coding
OR52E6,0,Protein Coding
OR52K2,0,Protein Coding
OR52L1,0,Protein Coding
OR52N2,0,Protein Coding
OR52N3P,0,Pseudogene
OR52N4,1,Protein Coding
OR52N5,0,Protein Coding
OR52P2P,0,Pseudogene
OR52U1P,0,Pseudogene
OR52V1P,0,Pseudogene
OR52W1,0,Protein Coding
OR52Y1P,0,Pseudogene
OR56A3,0,Protein Coding
OR56A4,0,Protein Coding
OR56A7P,0,Pseudogene
OR56B2P,0,Pseudogene
OR56B4,0,Protein Coding
OR5A1,0,Protein Coding
OR5A2,0,Protein Coding
OR5AS1,0,Protein Coding
OR5BB1P,0,Pseudogene
OR5BH1P,0,Pseudogene
OR5BK1P,0,Pseudogene
OR5BS1P,0,Pseudogene
OR5C1,0,Protein Coding
OR5D3P,0,Pseudogene
OR5H1,0,Protein Coding
OR5H6,0,Protein Coding
OR5H8,0,Protein Coding
OR5K2,0,Protein Coding
OR5M11,0,Protein Coding
OR5P3,0,Protein Coding
OR5T1,0,Protein Coding
OR5V1,0,Protein Coding
OR6A2,0,Protein Coding
OR6B1,0,Protein Coding
OR6B2,0,Protein Coding
OR6B3,0,Protein Coding
OR6C4,0,Protein Coding
OR6C65,0,Protein Coding
OR6C70,0,Protein Coding
OR6C75,0,Protein Coding
OR6J1,0,Protein Coding
OR6K1P,0,Pseudogene
OR6M2P,0,Pseudogene
OR6N1,0,Protein Coding
OR6T1,0,Protein Coding
OR6V1,0,Protein Coding
OR6W1P,0,Pseudogene
OR6Y1,0,Protein Coding
OR7A17,0,Protein Coding
OR7A19P,0,Pseudogene
OR7A5,1,Protein Coding
OR7C1,1,Protein Coding
OR7C2,0,Protein Coding
OR7D2,0,Protein Coding
OR7D4,0,Protein Coding
OR7E106P,0,Pseudogene
OR7E121P,0,Pseudogene
OR7E130P,0,Pseudogene
OR7E145P,0,Pseudogene
OR7E148P,0,Pseudogene
OR7E155P,0,Pseudogene
OR7E24,0,Protein Coding
OR7E25P,0,Pseudogene
OR7E38P,0,Pseudogene
OR7E47P,0,Pseudogene
OR7E59P,0,Pseudogene
OR7E5P,0,Pseudogene
OR7E91P,0,Pseudogene
OR7G1,0,Protein Coding
OR7G3,0,Protein Coding
OR8A1,0,Protein Coding
OR8B5P,0,Pseudogene
OR8B6P,0,Pseudogene
OR8B8,0,Protein Coding
OR8D1,0,Protein Coding
OR8D2,0,Protein Coding
OR8D4,0,Protein Coding
OR8G5,0,Protein Coding
OR8H2,0,Protein Coding
OR8K5,0,Protein Coding
OR8R1P,0,Pseudogene
OR8S1,0,Protein Coding
OR9A3P,0,Pseudogene
OR9H1P,0,Pseudogene
OR9K1P,0,Pseudogene
OR9K2,0,Protein Coding
OR9N1P,0,Pseudogene
OR9Q1,0,Protein Coding
OR9Q2,0,Protein Coding
ORAI1,1,Protein Coding
ORAI2,1,Protein Coding
ORAI3,1,Protein Coding
ORC1,0,Protein Coding
ORC2,0,TF
ORC3,0,Protein Coding
ORC4,1,Protein Coding
ORC5,1,Protein Coding
ORC6,1,Protein Coding
ORM1,1,Protein Coding
ORM2,1,Protein Coding
ORMDL1,0,Protein Coding
ORMDL2,1,Protein Coding
ORMDL3,1,Protein Coding
OS9,1,Protein Coding
OSBP,1,Protein Coding
OSBP2,1,Protein Coding
OSBPL10,1,Protein Coding
OSBPL10-AS1,0,lncRNA
OSBPL11,1,Protein Coding
OSBPL1A,0,Protein Coding
OSBPL2,0,Protein Coding
OSBPL3,0,Protein Coding
OSBPL5,1,Protein Coding
OSBPL6,1,Protein Coding
OSBPL7,1,Protein Coding
OSBPL8,1,Protein Coding
OSBPL9,0,Protein Coding
OSBPL9P4,0,Pseudogene
OSCAR,1,Protein Coding
OSCP1,1,Protein Coding
OSER1,1,Protein Coding
OSER1-DT,0,lncRNA
OSGEP,1,Protein Coding
OSGEPL1,0,Protein Coding
OSGIN1,1,Protein Coding
OSGIN2,1,Protein Coding
OSM,1,Protein Coding
OSMR,1,Protein Coding
OSR1,1,TF
OSR2,1,TF
OST4,1,Protein Coding
OSTC,1,Protein Coding
OSTCP1,0,Pseudogene
OSTF1,1,Protein Coding
OSTM1,1,Protein Coding
OSTM1-AS1,1,lncRNA
OSTN,0,Protein Coding
OSTN-AS1,0,lncRNA
OTC,1,Protein Coding
OTOA,0,Protein Coding
OTOF,0,Protein Coding
OTOG,0,Protein Coding
OTOGL,1,Protein Coding
OTOL1,0,Protein Coding
OTOP1,0,Protein Coding
OTOP2,0,Protein Coding
OTOP3,1,TF
OTOR,0,Protein Coding
OTOS,0,Protein Coding
OTP,0,TF
OTUB1,1,Protein Coding
OTUB2,0,Protein Coding
OTUD1,1,Protein Coding
OTUD3,1,Protein Coding
OTUD4,1,Protein Coding
OTUD4P1,0,Pseudogene
OTUD5,0,Protein Coding
OTUD6A,0,Protein Coding
OTUD6B,1,Protein Coding
OTUD6B-AS1,1,lncRNA
OTUD7A,0,Protein Coding
OTUD7B,1,TF
OTULIN,1,Protein Coding
OTULINL,0,Protein Coding
OTX1,0,TF
OTX2,0,TF
OTX2-AS1,0,lncRNA
OVAAL,0,lncRNA
OVCH1,0,Protein Coding
OVCH2,0,Protein Coding
OVGP1,0,Protein Coding
OVOL1,0,TF
OVOL2,1,TF
OXA1L,1,Protein Coding
OXCT1,1,Protein Coding
OXCT1-AS1,0,lncRNA
OXCT2,0,Protein Coding
OXER1,1,Protein Coding
OXGR1,1,Protein Coding
OXLD1,0,Protein Coding
OXNAD1,1,Protein Coding
OXR1,0,Protein Coding
OXSM,1,Protein Coding
OXSR1,1,Protein Coding
OXT,1,Protein Coding
OXTR,1,Protein Coding
P2RX1,1,Protein Coding
P2RX2,1,Protein Coding
P2RX3,0,Protein Coding
P2RX4,1,Protein Coding
P2RX5,0,Protein Coding
P2RX5-TAX1BP3,0,other
P2RX6,0,Protein Coding
P2RX6P,0,Pseudogene
P2RX7,1,Protein Coding
P2RY1,1,Protein Coding
P2RY10,1,Protein Coding
P2RY11,0,Protein Coding
P2RY12,1,Protein Coding
P2RY13,1,Protein Coding
P2RY14,1,Protein Coding
P2RY2,1,Protein Coding
P2RY4,0,Protein Coding
P2RY6,1,Protein Coding
P2RY8,1,Protein Coding
P3H1,0,Protein Coding
P3H2,1,Protein Coding
P3H2-AS1,0,lncRNA
P3H3,1,Protein Coding
P3H4,1,Protein Coding
P4HA1,1,Protein Coding
P4HA2,1,Protein Coding
P4HA3,1,Protein Coding
P4HB,1,Protein Coding
P4HTM,1,Protein Coding
PA2G4,0,TF
PA2G4P1,0,Pseudogene
PA2G4P4,0,Pseudogene
PAAF1,0,Protein Coding
PABPC1,1,Protein Coding
PABPC1L,0,Protein Coding
PABPC1L2A,0,Protein Coding
PABPC1L2B,0,Protein Coding
PABPC1L2B-AS1,0,lncRNA
PABPC1P1,0,Pseudogene
PABPC1P2,0,Pseudogene
PABPC1P4,0,Pseudogene
PABPC1P8,0,Pseudogene
PABPC3,0,Protein Coding
PABPC4,1,Protein Coding
PABPC4-AS1,0,lncRNA
PABPC4L,1,Protein Coding
PABPC5,1,Protein Coding
PABPN1,1,TF
PABPN1L,1,Protein Coding
PACC1,0,Protein Coding
PACERR,0,lncRNA
PACRG,0,Protein Coding
PACRG-AS3,1,lncRNA
PACRGL,0,Protein Coding
PACS1,0,Protein Coding
PACS2,1,Protein Coding
PACSIN1,1,Protein Coding
PACSIN2,1,Protein Coding
PACSIN3,1,Protein Coding
PADI1,0,Protein Coding
PADI2,1,Protein Coding
PADI3,0,Protein Coding
PADI4,1,TF
PADI6,0,Protein Coding
PAEP,1,Protein Coding
PAF1,1,Protein Coding
PAFAH1B1,0,Protein Coding
PAFAH1B2,0,Protein Coding
PAFAH1B3,1,Protein Coding
PAFAH2,0,Protein Coding
PAG1,1,Protein Coding
PAGE1,0,Protein Coding
PAGE2,0,Protein Coding
PAGE2B,1,Protein Coding
PAGE4,1,Protein Coding
PAGE5,0,Protein Coding
PAGR1,1,Protein Coding
PAH,1,Protein Coding
PAICS,0,Protein Coding
PAICSP4,0,Pseudogene
PAIP1,1,Protein Coding
PAIP1P1,0,Pseudogene
PAIP2,1,Protein Coding
PAIP2B,0,Protein Coding
PAK1,1,Protein Coding
PAK1IP1,1,Protein Coding
PAK2,0,Protein Coding
